iter	MultiClass
0	1.240259453
1	0.9832224909
2	0.7916418835
3	0.6806920625
4	0.5987138289
5	0.5251897892
6	0.4705922619
7	0.4244808777
8	0.393472372
9	0.3698208353
10	0.3404455766
11	0.3112883918
12	0.287664145
13	0.2745038291
14	0.2529778024
15	0.2446003101
16	0.2332024712
17	0.2221620326
18	0.2101328811
19	0.2024408537
20	0.1931055581
21	0.1897831376
22	0.1860211556
23	0.1828606576
24	0.1801971467
25	0.1768249678
26	0.1744876765
27	0.1705867951
28	0.1693219278
29	0.1631197519
30	0.162854621
31	0.1594467383
32	0.1592143172
33	0.1552171771
34	0.1548359729
35	0.154366464
36	0.1509194198
37	0.1477399428
38	0.1437024566
39	0.14335013
40	0.1402554485
41	0.1388690478
42	0.136113888
43	0.1350841232
44	0.1348015426
45	0.1344543217
46	0.1330337209
47	0.1304516943
48	0.1295765396
49	0.1260693778
50	0.1209040305
51	0.1194040843
52	0.1174985221
53	0.1161336645
54	0.1128858394
55	0.1115784943
56	0.1106776089
57	0.107472931
58	0.1055044914
59	0.1040048445
60	0.10307605
61	0.1029072923
62	0.1021532781
63	0.1010111614
64	0.1007685921
65	0.09893581802
66	0.0969140879
67	0.09594769963
68	0.09426846492
69	0.09409500587
70	0.09173180407
71	0.09116025209
72	0.0890573067
73	0.08803749193
74	0.08789358719
75	0.08667733544
76	0.08653515385
77	0.08545611472
78	0.08384072044
79	0.08334806596
80	0.08240106159
81	0.08132375933
82	0.08084403881
83	0.08024464326
84	0.07927692749
85	0.07856809679
86	0.07821409188
87	0.07754449942
88	0.07680731511
89	0.07603733634
90	0.07516050204
91	0.0745937282
92	0.07261075614
93	0.07191520319
94	0.07090104006
95	0.07007907655
96	0.06870757298
97	0.06789184577
98	0.06720822913
99	0.06636931845
100	0.0653499543
101	0.06382222959
102	0.06346284325
103	0.06318778109
104	0.0627310292
105	0.06231883942
106	0.06177044239
107	0.06126016113
108	0.06084687602
109	0.06036854717
110	0.05967545114
111	0.05919124459
112	0.05895611685
113	0.05847747191
114	0.05812840744
115	0.0576379238
116	0.05723857927
117	0.05674380166
118	0.05614756703
119	0.05556846328
120	0.05503454772
121	0.05418573642
122	0.05388718494
123	0.05383318049
124	0.053595936
125	0.05278459219
126	0.05213621297
127	0.05176421421
128	0.05121264771
129	0.05048976318
130	0.05001411816
131	0.04968303488
132	0.04947257324
133	0.04937121553
134	0.04927921351
135	0.04905961129
136	0.04839875819
137	0.04821474781
138	0.04808781497
139	0.04791549603
140	0.04751010964
141	0.04691293585
142	0.04636002768
143	0.04557235867
144	0.04507962251
145	0.04461624684
146	0.04457424256
147	0.04432638251
148	0.04400548061
149	0.04389184969
150	0.04372063656
151	0.04318106333
152	0.0429737625
153	0.04273339515
154	0.0425273612
155	0.04222614494
156	0.04190522681
157	0.04130068878
158	0.04100214735
159	0.04076543468
160	0.04056832376
161	0.04034679952
162	0.04001066045
163	0.03988966724
164	0.03953531335
165	0.03905361102
166	0.03856805247
167	0.03837936377
168	0.0381770574
169	0.03814171579
170	0.03746234218
171	0.03733481644
172	0.03703045113
173	0.03692758358
174	0.03647037004
175	0.03607525269
176	0.0359213238
177	0.03574477776
178	0.03547119232
179	0.03520917023
180	0.0349389399
181	0.03489504401
182	0.03476952346
183	0.03460683137
184	0.03444720955
185	0.03415128511
186	0.03409889788
187	0.03396941568
188	0.03361224146
189	0.03312459626
190	0.03291795169
191	0.0326358503
192	0.0322214174
193	0.03210394497
194	0.03201619641
195	0.03185899561
196	0.03155053499
197	0.03126747371
198	0.03116877457
199	0.03093145832
